,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neighbors__algorithm,param_neighbors__n_neighbors,param_neighbors__weights,param_preprocessing__getlemmas,param_preprocessing__getstemmer,param_preprocessing__removestopwords,param_tfidf__analyzer,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1245,0.5715659459431967,0.01649079891129004,0.2770121892293294,0.004918682627344648,kd_tree,5,uniform,False,True,False,word,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 4)}",0.5230263157894737,0.5412541254125413,0.5478547854785478,0.537378408893521,0.010500130496877131,2116
1246,0.6086537837982178,0.030279569323337575,0.32117191950480145,0.028222288478103128,kd_tree,5,uniform,False,True,False,word,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 5)}",0.5164473684210527,0.5412541254125413,0.5478547854785478,0.5351854264373805,0.01352105252299038,2185
1247,0.5383322238922119,0.022065389485954788,0.29266587893168133,0.05185433544348061,kd_tree,5,uniform,False,True,False,word,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (2, 3)}",0.5526315789473685,0.570957095709571,0.594059405940594,0.5725493601991779,0.016950274176716715,217
1248,0.5149224599202474,0.04319594811329448,0.29668911298116046,0.02349019365572264,kd_tree,5,uniform,False,True,False,char,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 1)}",0.5493421052631579,0.5214521452145214,0.5379537953795379,0.5362493486190724,0.011449638187822936,2173
1249,0.5366566975911459,0.014065412301582479,0.30867552757263184,0.016146908171927533,kd_tree,5,uniform,False,True,False,char,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 2)}",0.5361842105263158,0.49174917491749176,0.5346534653465347,0.5208622835967808,0.020595559682132537,2524
1250,0.617982546488444,0.04059063887020851,0.34967803955078125,0.009746798166079774,kd_tree,5,uniform,False,True,False,char,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 3)}",0.5328947368421053,0.5577557755775577,0.5379537953795379,0.5428681025997336,0.010727864756240092,1843
1251,0.6996569633483887,0.03751687980976537,0.38466421763102215,0.008803395113667139,kd_tree,5,uniform,False,True,False,char,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 4)}",0.5427631578947368,0.5445544554455446,0.5808580858085809,0.556058566382954,0.01755115019090226,1165
1252,0.8863449096679688,0.14841147853644898,0.49765491485595703,0.03488309539386354,kd_tree,5,uniform,False,True,False,char,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 5)}",0.5328947368421053,0.5214521452145214,0.6105610561056105,0.5549693127207457,0.03958589542766804,1228
1253,0.5799896717071533,0.02919524297834511,0.32700037956237793,0.01275504172513138,kd_tree,5,uniform,False,True,False,char,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (2, 3)}",0.5723684210526315,0.5478547854785478,0.5643564356435643,0.5615265473915813,0.01020574292261566,850
1254,0.5620012283325195,0.07383381134799895,0.28099632263183594,0.007114365835259043,kd_tree,5,uniform,False,True,False,char_wb,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': False, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 1)}",0.5460526315789473,0.504950495049505,0.5610561056105611,0.5373530774130044,0.02371668282203976,2137
