,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bayes__alpha,param_bayes__fit_prior,param_preprocessing__getlemmas,param_preprocessing__getstemmer,param_preprocessing__removestopwords,param_tfidf__analyzer,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11,0.6257195472717285,0.08395823167080775,0.25798821449279785,0.012041855384323613,1.0,True,True,True,True,char,"(2, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (2, 3)}",0.5361842105263158,0.528052805280528,0.5511551155115512,0.5384640437727982,0.00956826052552342,374
12,0.6548998355865479,0.0618809480941115,0.2702530225118001,0.010444195789339987,1.0,True,True,True,True,char_wb,"(1, 1)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 1)}",0.4901315789473684,0.5214521452145214,0.5148514851485149,0.5088117364368016,0.013480934468086465,527
13,0.5416608651479086,0.03733085061825613,0.254433552424113,0.007899896754852311,1.0,True,True,True,True,char_wb,"(1, 2)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 2)}",0.5296052631578947,0.5247524752475248,0.5313531353135313,0.5285702912396503,0.002792317255185421,454
14,0.5539983908335367,0.029442475019254143,0.2776780128479004,0.01753697013738164,1.0,True,True,True,True,char_wb,"(1, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 3)}",0.5263157894736842,0.5346534653465347,0.5511551155115512,0.53737479011059,0.010321570806082432,380
15,0.6656732559204102,0.05802062412344755,0.352991263071696,0.04698690346378213,1.0,True,True,True,True,char_wb,"(1, 4)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 4)}",0.5394736842105263,0.5214521452145214,0.5676567656765676,0.5428608650338719,0.019014406528699308,327
16,0.6133372783660889,0.01635719389746033,0.2986656030019124,0.01225342029743187,1.0,True,True,True,True,char_wb,"(1, 5)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 5)}",0.5296052631578947,0.5115511551155115,0.5610561056105611,0.5340708412946557,0.020455497581350686,415
17,0.5826748212178549,0.063736423082087,0.27566107114156085,0.014641764065585167,1.0,True,True,True,True,char_wb,"(2, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (2, 3)}",0.5427631578947368,0.5346534653465347,0.5610561056105611,0.5461575762839441,0.01104283811281136,302
18,0.5263458887736002,0.02735909285924958,0.2886541684468587,0.02991738725505315,1.0,True,True,True,False,word,"(1, 1)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 1)}",0.5394736842105263,0.5148514851485149,0.6237623762376238,0.5593625151988882,0.04663381997376765,196
19,0.5426540374755859,0.019558607138526616,0.24833464622497559,0.0137199454403534,1.0,True,True,True,False,word,"(1, 2)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 2)}",0.5263157894736842,0.5082508250825083,0.6072607260726073,0.5472757802095999,0.04305214692482096,284
20,0.5533292293548584,0.014519215894687328,0.27568944295247394,0.010286346057338825,1.0,True,True,True,False,word,"(1, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 3)}",0.5493421052631579,0.49834983498349833,0.5808580858085809,0.542850008685079,0.033995228606752165,331
21,0.591685930887858,0.0012647213311638126,0.2619807720184326,0.027112465680037362,1.0,True,True,True,False,word,"(1, 4)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 4)}",0.555921052631579,0.49834983498349833,0.5775577557755776,0.5439428811302183,0.03342734532722255,325
22,0.588990052541097,0.005719618843299234,0.2773326237996419,0.009175810946441931,1.0,True,True,True,False,word,"(1, 5)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 5)}",0.555921052631579,0.49504950495049505,0.5775577557755776,0.5428427711192172,0.0349302538309426,337
23,0.5483468373616537,0.008232924701922198,0.24598375956217447,0.0037400074477015426,1.0,True,True,True,False,word,"(2, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (2, 3)}",0.5526315789473685,0.5412541254125413,0.5841584158415841,0.5593480400671647,0.018148051718852445,200
24,0.5010116100311279,0.01807299171224628,0.2676563262939453,0.018894911305253857,1.0,True,True,True,False,char,"(1, 1)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 1)}",0.5164473684210527,0.5346534653465347,0.504950495049505,0.5186837762723641,0.012228866155524891,501
25,0.5640019575754801,0.03734408722090311,0.28266366322835285,0.0041914017187499346,1.0,True,True,True,False,char,"(1, 2)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 2)}",0.4967105263157895,0.5214521452145214,0.5247524752475248,0.5143050489259452,0.012513951254264102,513
26,0.59732453028361,0.03460119165079037,0.3083534240722656,0.008181122167734941,1.0,True,True,True,False,char,"(1, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 3)}",0.5131578947368421,0.5346534653465347,0.5445544554455446,0.5307886051763071,0.013105695051779793,439
27,0.6893219947814941,0.007408593615029368,0.3656791051228841,0.03109035312321745,1.0,True,True,True,False,char,"(1, 4)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 4)}",0.5296052631578947,0.5148514851485149,0.5544554455445545,0.5329707312836547,0.016342443749164298,426
28,0.8086501757303873,0.0393149355664853,0.33200256029764813,0.011227132196719522,1.0,True,True,True,False,char,"(1, 5)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 5)}",0.5394736842105263,0.5082508250825083,0.5577557755775577,0.5351600949568641,0.020439183285482266,409
29,0.5840284824371338,0.0035915806251222387,0.29429030418395996,0.013074716841338265,1.0,True,True,True,False,char,"(2, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (2, 3)}",0.5263157894736842,0.5148514851485149,0.5742574257425742,0.538474900121591,0.02573129642124883,371
30,0.5423289140065511,0.008180036997050251,0.27733270327250165,0.012254146505741206,1.0,True,True,True,False,char_wb,"(1, 1)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 1)}",0.4967105263157895,0.5445544554455446,0.528052805280528,0.523105929013954,0.0198429513470292,473
31,0.5816796620686849,0.0164555277165505,0.28198925654093426,0.011336004257669285,1.0,True,True,True,False,char_wb,"(1, 2)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 2)}",0.5,0.5115511551155115,0.5346534653465347,0.5154015401540154,0.014406821621241815,511
32,0.6023344993591309,0.022514524007214137,0.32832924524943036,0.01673846163724401,1.0,True,True,True,False,char_wb,"(1, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 3)}",0.5394736842105263,0.5313531353135313,0.5313531353135313,0.534059984945863,0.003828063461348061,421
33,0.6606740156809489,0.017315604334506393,0.3396673997243245,0.0026337729852354027,1.0,True,True,True,False,char_wb,"(1, 4)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 4)}",0.5230263157894737,0.5016501650165016,0.5445544554455446,0.5230769787505066,0.01751563985617107,479
34,0.6886763572692871,0.019608284238806412,0.3496744632720947,0.01069376023813643,1.0,True,True,True,False,char_wb,"(1, 5)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 5)}",0.5197368421052632,0.49834983498349833,0.5577557755775577,0.5252808175554398,0.024567162260632238,466
35,0.5946667989095052,0.032714312495852424,0.3013312021891276,0.011440973619221407,1.0,True,True,True,False,char_wb,"(2, 3)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (2, 3)}",0.5328947368421053,0.528052805280528,0.5577557755775577,0.5395677725667304,0.01301188342639525,360
36,0.23934054374694824,0.025268919053207505,0.11598857243855794,0.007267160742710822,1.0,True,True,False,True,word,"(1, 1)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 1)}",0.555921052631579,0.5247524752475248,0.5742574257425742,0.5516436512072259,0.020435380317611197,251
37,0.25867946942647296,0.01047879001713761,0.11231954892476399,0.00532550506843061,1.0,True,True,False,True,word,"(1, 2)","{'bayes__alpha': 1.0, 'bayes__fit_prior': True, 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 2)}",0.5361842105263158,0.5115511551155115,0.6039603960396039,0.5505652538938105,0.03907239228487774,256
