,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bayes__alpha,param_vectorizer__analyzer,param_vectorizer__binary,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.033022737503051756,0.00671952145091846,0.0069716453552246095,0.0010993327930028712,0,word,True,"(1, 1)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 1)}",0.5561797752808989,0.5224719101123596,0.5449438202247191,0.5449438202247191,0.559322033898305,0.5455722719482003,0.012930519716716868,21
1,0.05797138214111328,0.00757717645444622,0.008594083786010741,0.0007927280639954105,0,word,True,"(1, 2)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 2)}",0.5449438202247191,0.5280898876404494,0.5393258426966292,0.5393258426966292,0.6045197740112994,0.5512410334539453,0.027196316603085805,14
2,0.07947864532470703,0.002162793839755766,0.013299989700317382,0.002850983355273162,0,word,True,"(1, 3)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 3)}",0.5730337078651685,0.550561797752809,0.5280898876404494,0.5393258426966292,0.6101694915254238,0.560236145496096,0.029056263730287267,3
3,0.10673704147338867,0.004165912410163851,0.016913700103759765,0.0021638630316754676,0,word,True,"(1, 4)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 4)}",0.5730337078651685,0.550561797752809,0.5280898876404494,0.5449438202247191,0.6045197740112994,0.560229797498889,0.026403209146476307,4
4,0.1433401584625244,0.009793159552547975,0.021254205703735353,0.0008856343868599285,0,word,True,"(1, 5)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 5)}",0.5730337078651685,0.550561797752809,0.5337078651685393,0.5449438202247191,0.6045197740112994,0.561353393004507,0.025098900456747703,2
5,0.06663689613342286,0.0036975725127558097,0.009603595733642578,0.001201383272149651,0,word,True,"(2, 3)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': True, 'vectorizer__ngram_range': (2, 3)}",0.5449438202247191,0.5337078651685393,0.5449438202247191,0.5561797752808989,0.5480225988700564,0.5455595759537866,0.007212162982165241,22
6,0.029198932647705077,0.0009769856176134507,0.006000375747680664,0.0014140118315732425,0,word,False,"(1, 1)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (1, 1)}",0.5393258426966292,0.5280898876404494,0.5449438202247191,0.5449438202247191,0.559322033898305,0.5433250809369643,0.01009205785849369,28
7,0.05398917198181152,0.001056349174649683,0.009801673889160156,0.0011654613565906353,0,word,False,"(1, 2)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (1, 2)}",0.5449438202247191,0.5337078651685393,0.5280898876404494,0.5393258426966292,0.6045197740112994,0.5501174379483272,0.027775262623119565,15
8,0.07736892700195312,0.0013816336161916701,0.013221836090087891,0.0024186573887205465,0,word,False,"(1, 3)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (1, 3)}",0.5730337078651685,0.5393258426966292,0.5337078651685393,0.5393258426966292,0.6101694915254238,0.559112549990478,0.0290827629273488,8
9,0.11053600311279296,0.009553401759426506,0.018274593353271484,0.0018940021528273177,0,word,False,"(1, 4)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (1, 4)}",0.5730337078651685,0.5449438202247191,0.5337078651685393,0.5449438202247191,0.6045197740112994,0.560229797498889,0.02567597023337623,4
10,0.13995957374572754,0.0020017837613688296,0.0216214656829834,0.0032186496275440415,0,word,False,"(1, 5)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (1, 5)}",0.5730337078651685,0.5449438202247191,0.5337078651685393,0.5449438202247191,0.6045197740112994,0.560229797498889,0.02567597023337623,4
11,0.06609559059143066,0.00290177427113274,0.010000896453857423,0.0017909923960556125,0,word,False,"(2, 3)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'word', 'vectorizer__binary': False, 'vectorizer__ngram_range': (2, 3)}",0.5393258426966292,0.5337078651685393,0.5449438202247191,0.5561797752808989,0.5480225988700564,0.5444359804481685,0.0076451869213101506,24
12,0.03474936485290527,0.0018292497490863193,0.008811712265014648,0.0007484054974966661,0,char,True,"(1, 1)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'char', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 1)}",0.5056179775280899,0.5280898876404494,0.5393258426966292,0.5224719101123596,0.4915254237288136,0.5174062083412683,0.016905916750860613,50
13,0.08868913650512696,0.006340152256017547,0.024939870834350585,0.0028017859830425694,0,char,True,"(1, 2)","{'bayes__alpha': 0, 'vectorizer__analyzer': 'char', 'vectorizer__binary': True, 'vectorizer__ngram_range': (1, 2)}",0.5056179775280899,0.5168539325842697,0.5337078651685393,0.5224719101123596,0.4971751412429379,0.5151653653272392,0.012766063863492301,54
